Cell,Longitude,Latitude
G081993,117.6958,35.991
G082011,116.76672,36.18426
G082012,116.76672,36.18426
G082013,116.76672,36.18426
G082021,116.77681,36.22059
G082022,116.77681,36.22059
G082023,116.77681,36.22059
G082031,116.77534,36.14926
G082032,116.77534,36.14926
G082033,116.77534,36.14926
G082041,116.76496,36.18898
G082042,116.76496,36.18898
G082043,116.76496,36.18898
G082051,116.77267,36.20501
G082052,116.77267,36.20501
G082053,116.77267,36.20501
G082061,116.7534,36.16856
G082062,116.7534,36.16856
G082063,116.7534,36.16856
G082071,116.78811,36.19451
G082072,116.78811,36.19451
G082073,116.78811,36.19451
G082081,116.76098,36.17624
G082082,116.76098,36.17624
G082083,116.76098,36.17624
G082091,116.7203056,36.1766944
G082092,116.7203056,36.1766944
G082093,116.7203056,36.1766944
G082111,116.51585,36.20594
G082112,116.51585,36.20594
G082113,116.51585,36.20594
G082131,116.689722,36.209167
G082132,116.689722,36.209167
G082133,116.689722,36.209167
G082191,116.598,36.202
G082192,116.598,36.202
G082193,116.598,36.202
G082231,116.83279,36.21609
G082241,116.5373,36.23863
G082242,116.5373,36.23863
G082243,116.5373,36.23863
G082251,116.75041,36.25059
G082252,116.75041,36.25059
G082253,116.75041,36.25059
G082261,116.74879,36.18791
G082262,116.74879,36.18791
G082263,116.74879,36.18791
G082271,116.778612,36.181112
G082272,116.778612,36.181112
G082273,116.778612,36.181112
G082281,116.544445,36.160278
G082283,116.544445,36.160278
G082291,116.62425,36.24875
G082292,116.62425,36.24875
G082293,116.62425,36.24875
G082311,116.6864,36.23517
G082312,116.6864,36.23517
G082313,116.6864,36.23517
G082351,116.77266,36.17276
G082352,116.77266,36.17276
G082353,116.77266,36.17276
G082361,116.55019,36.21357
G082362,116.55019,36.21357
G082363,116.55019,36.21357
G082371,116.57563,36.21038
G082372,116.57563,36.21038
G082373,116.57563,36.21038
G082381,116.64226,36.21685
G082382,116.64226,36.21685
G082383,116.64226,36.21685
G082391,116.74197,36.22785
G082392,116.74197,36.22785
G082393,116.74197,36.22785
G082411,116.68969,36.15036
G082412,116.68969,36.15036
G082431,116.77106,36.26938
G082441,116.63282,36.17966
G082442,116.63282,36.17966
G082443,116.63282,36.17966
G082451,116.51078,36.22618
G082461,116.72724,36.25899
G082462,116.72724,36.25899
G082463,116.72724,36.25899
G082471,116.61928,36.2202
G082472,116.61928,36.2202
G082473,116.61928,36.2202
G082481,116.68121,36.21132
G082482,116.68121,36.21132
G082483,116.68121,36.21132
G082501,116.85341,36.24551
G082511,116.78336,36.30062
G082561,116.48221,36.20978
G082571,116.58936,36.24799
G082572,116.58936,36.24799
G082573,116.58936,36.24799
G082651,116.8279,36.2479
G082661,116.7929,36.2427
G082701,116.6865,36.1791
G082702,116.6865,36.1791
G082703,116.6865,36.1791
G082721,116.696,36.2277
G082731,116.7668,36.2551
G082771,116.5583,36.189
G082772,116.5583,36.189
G082773,116.5583,36.189
G082801,116.77447,36.19228
G082802,116.77447,36.19228
G082803,116.77447,36.19228
G082811,116.76631,36.16114
G082812,116.76631,36.16114
G082813,116.76631,36.16114
G082821,116.69207,36.26402
G082861,116.6016,36.1709
G082862,116.6016,36.1709
G082863,116.6016,36.1709
G082871,116.65419,36.24693
G082872,116.65419,36.24693
G082873,116.65419,36.24693
G082921,116.8396,36.1842
G082922,116.8396,36.1842
G082923,116.8396,36.1842
G082931,116.72274,36.22955
G082932,116.72274,36.22955
G082933,116.72274,36.22955
G082941,116.7534,36.2279
G082942,116.7534,36.2279
G082943,116.7534,36.2279
G083011,116.791667,35.761112
G083012,116.791667,35.761112
G083013,116.791667,35.761112
G083021,116.812222,35.7675
G083022,116.812222,35.7675
G083023,116.812222,35.7675
G083031,116.789445,35.776945
G083032,116.789445,35.776945
G083033,116.789445,35.776945
G083101,116.78679,35.68373
G083111,117.093055,35.905
G083112,117.093055,35.905
G083113,117.093055,35.905
G083131,116.977778,35.908055
G083132,116.977778,35.908055
G083133,116.977778,35.908055
G083141,116.88221,35.81077
G083142,116.88221,35.81077
G083161,116.935555,35.783333
G083162,116.935555,35.783333
G083163,116.935555,35.783333
G083181,116.70855,35.74728
G083182,116.70855,35.74728
G083183,116.70855,35.74728
G083191,117.078333,35.858055
G083192,117.078333,35.858055
G083193,117.078333,35.858055
G083201,116.657778,35.737778
G083202,116.657778,35.737778
G083221,116.864445,35.718055
G083222,116.864445,35.718055
G083223,116.864445,35.718055
G083231,117.1412,35.8696
G083232,117.1412,35.8696
G083233,117.1412,35.8696
G083241,116.765,35.713055
G083242,116.765,35.713055
G083243,116.765,35.713055
G083251,116.9508333,35.84
G083261,116.776667,35.763055
G083262,116.776667,35.763055
G083263,116.776667,35.763055
G083281,116.996388,35.8275
G083283,116.996388,35.8275
G083301,117.068611,35.813611
G083302,117.068611,35.813611
G083303,117.068611,35.813611
G083321,116.81905,35.71363
G083331,117.113333,35.825278
G083332,117.113333,35.825278
G083341,117.106112,35.899445
G083342,117.106112,35.899445
G083343,117.106112,35.899445
G083351,116.8,35.7555
G083352,116.8,35.7555
G083353,116.8,35.7555
G083381,117.1611111,35.86972222
G083382,117.1611111,35.86972222
G083391,116.92535,35.73801
G083411,117.046389,35.91
G083412,117.046389,35.91
G083413,117.046389,35.91
G083421,117.027222,35.8675
G083441,117.1461111,35.92944444
G083442,117.1461111,35.92944444
G083443,117.1461111,35.92944444
G083451,116.87529,35.77257
G083481,116.72494,35.71597
G083483,116.72494,35.71597
G083541,117.0003,35.9347
G083542,117.0003,35.9347
G083543,117.0003,35.9347
G083551,116.9592,35.9392
G083552,116.9592,35.9392
G083553,116.9592,35.9392
G083561,116.7487,35.7523
G083571,116.9848,35.8825
G083581,116.86325,35.79825
G083582,116.86325,35.79825
G083583,116.86325,35.79825
G083591,116.62161,35.7288
G083592,116.62161,35.7288
G083601,117.0561111,35.8874722
G083602,117.0561111,35.8874722
G083603,117.0561111,35.8874722
G083611,116.9257,35.80792
G083621,116.8243611,35.7506111
G083622,116.8243611,35.7506111
G083623,116.8243611,35.7506111
G083641,116.7458,35.7724
G083642,116.7458,35.7724
G083643,116.7458,35.7724
G083661,117.13766,35.80474
G083662,117.13766,35.80474
G083663,117.13766,35.80474
G083731,117.1533,35.8809
